city,station_name,address,fuel_code,price,date
Городской округ Ульяновск,ООО АССОЦИАЦИЯ «Л-КАРД,"а/д Цивильск-Сызрань, 208 км,  Ульяновская область, Железнодорожный район, г. Ульяновск, село Белый Ключ, улица Ленина, напротив нефтеразведки, АЗС № 8",AI92,61.9,2025-12-07 22:31:15.080881
Городской округ Ульяновск,ООО АССОЦИАЦИЯ «Л-КАРД,"а/д Цивильск-Сызрань, 208 км,  Ульяновская область, Железнодорожный район, г. Ульяновск, село Белый Ключ, улица Ленина, напротив нефтеразведки, АЗС № 8",AI95,66.99,2025-12-07 22:31:15.080881
Городской округ Ульяновск,ООО АССОЦИАЦИЯ «Л-КАРД,"а/д Цивильск-Сызрань, 208 км,  Ульяновская область, Железнодорожный район, г. Ульяновск, село Белый Ключ, улица Ленина, напротив нефтеразведки, АЗС № 8",DIESEL,70.99,2025-12-07 22:31:15.080881
Городской округ Ульяновск,ООО АССОЦИАЦИЯ «Л-КАРД,"а/д Цивильск-Сызрань, 208 км,  Ульяновская область, Железнодорожный район, г. Ульяновск, село Белый Ключ, улица Ленина, напротив нефтеразведки, АЗС № 8",GAS,21.99,2025-12-07 22:31:15.080881
Дмитриево-Помряскино,ООО НЕЙЛОС ТРЕЙД ТК,"а/д Ульяновск-Богатырь-Казань, Ульяновская область, Старомайнский р-н, с. Дмитриево-Помряскино, АЗС №232",AI92,59.14,2025-12-07 22:31:15.080881
Дмитриево-Помряскино,ООО НЕЙЛОС ТРЕЙД ТК,"а/д Ульяновск-Богатырь-Казань, Ульяновская область, Старомайнский р-н, с. Дмитриево-Помряскино, АЗС №232",AI95,63.89,2025-12-07 22:31:15.080881
Дмитриево-Помряскино,ООО НЕЙЛОС ТРЕЙД ТК,"а/д Ульяновск-Богатырь-Казань, Ульяновская область, Старомайнский р-н, с. Дмитриево-Помряскино, АЗС №232",DIESEL,71.03,2025-12-07 22:31:15.080881
Цильнинский район,ООО АССОЦИАЦИЯ «Л-КАРД,"АЗС №2, Ульяновская область, Цильнинский район, в границах СПК Большенагатинский, по левую сторону А151,166 км , вблизи села Большое Нагаткино",AI92,61.9,2025-12-07 22:31:15.080881
Цильнинский район,ООО АССОЦИАЦИЯ «Л-КАРД,"АЗС №2, Ульяновская область, Цильнинский район, в границах СПК Большенагатинский, по левую сторону А151,166 км , вблизи села Большое Нагаткино",AI95,66.99,2025-12-07 22:31:15.080881
Цильнинский район,ООО АССОЦИАЦИЯ «Л-КАРД,"АЗС №2, Ульяновская область, Цильнинский район, в границах СПК Большенагатинский, по левую сторону А151,166 км , вблизи села Большое Нагаткино",DIESEL,70.99,2025-12-07 22:31:15.080881
Цильнинский район,ООО АССОЦИАЦИЯ «Л-КАРД,"АЗС №2, Ульяновская область, Цильнинский район, в границах СПК Большенагатинский, по левую сторону А151,166 км , вблизи села Большое Нагаткино",GAS,21.99,2025-12-07 22:31:15.080881
Тереньгульский район,ООО АССОЦИАЦИЯ «Л-КАРД,"А151, 277 км, Ульяновская обл., Тереньгульский р-н, б.н.п. п.г.т.Тереньга, АЗС №25",AI92,61.9,2025-12-07 22:31:15.080881
Тереньгульский район,ООО АССОЦИАЦИЯ «Л-КАРД,"А151, 277 км, Ульяновская обл., Тереньгульский р-н, б.н.п. п.г.т.Тереньга, АЗС №25",AI95,66.99,2025-12-07 22:31:15.080881
